Trail Name,Modified GPX URL
Angels' Bench,https://www.trailforks.com/trails/angels--bench/gpx/angels--bench.gpx
Angels' Bench North,https://www.trailforks.com/trails/angels--bench-north/gpx/angels--bench-north.gpx
Angels' Berms,https://www.trailforks.com/trails/angels--berms/gpx/angels--berms.gpx
Baseline,https://www.trailforks.com/trails/baseline/gpx/baseline.gpx
Boneshaker,https://www.trailforks.com/trails/boneshaker/gpx/boneshaker.gpx
Bring Da ROCKus,https://www.trailforks.com/trails/bring-da-rockus-561080/gpx/bring-da-rockus-561080.gpx
Cookies Climb,https://www.trailforks.com/trails/cookies-climb/gpx/cookies-climb.gpx
Crossover,https://www.trailforks.com/trails/crossover-3398/gpx/crossover-3398.gpx
D.R.E.A.M.,https://www.trailforks.com/trails/d-r-e-a-m/gpx/d-r-e-a-m.gpx
Family Jewel,https://www.trailforks.com/trails/family-jewel/gpx/family-jewel.gpx
Golf Course Connector 1,https://www.trailforks.com/trails/golf-course-connector-1/gpx/golf-course-connector-1.gpx
Golf Course Connector 2,https://www.trailforks.com/trails/golf-course-connector-2/gpx/golf-course-connector-2.gpx
Groovy Grove,https://www.trailforks.com/trails/groovy-grove-467592/gpx/groovy-grove-467592.gpx
Growler,https://www.trailforks.com/trails/growler/gpx/growler.gpx
Hollywood Boulevard,https://www.trailforks.com/trails/hollywood-boulevard/gpx/hollywood-boulevard.gpx
Hotel California,https://www.trailforks.com/trails/hotel-california/gpx/hotel-california.gpx
Hotel Connection,https://www.trailforks.com/trails/hotel-connection/gpx/hotel-connection.gpx
Imperial Stout,https://www.trailforks.com/trails/imperial-stout-458573/gpx/imperial-stout-458573.gpx
Kazbar,https://www.trailforks.com/trails/kazbar/gpx/kazbar.gpx
Lager,https://www.trailforks.com/trails/lager/gpx/lager.gpx
Low Cal,https://www.trailforks.com/trails/low-cal/gpx/low-cal.gpx
Low Grove,https://www.trailforks.com/trails/low-grove/gpx/low-grove.gpx
Lower Family Jewel,https://www.trailforks.com/trails/lower-family-jewel/gpx/lower-family-jewel.gpx
Lower Lager,https://www.trailforks.com/trails/lower-lager/gpx/lower-lager.gpx
Lower Ridgeback,https://www.trailforks.com/trails/lower-ridgeback/gpx/lower-ridgeback.gpx
Lug-Tread,https://www.trailforks.com/trails/lugtread/gpx/lugtread.gpx
Maibock,https://www.trailforks.com/trails/maibock/gpx/maibock.gpx
Malibu,https://www.trailforks.com/trails/malibu-107592/gpx/malibu-107592.gpx
Ol' Dirty,https://www.trailforks.com/trails/ol--dirty-561075/gpx/ol--dirty-561075.gpx
Pilsner,https://www.trailforks.com/trails/pilsner/gpx/pilsner.gpx
Pine Line,https://www.trailforks.com/trails/pine-line-467587/gpx/pine-line-467587.gpx
Pine Line,https://www.trailforks.com/trails/pine-line-467580/gpx/pine-line-467580.gpx
Pine Line Connector,https://www.trailforks.com/trails/pine-line-connector/gpx/pine-line-connector.gpx
Porter,https://www.trailforks.com/trails/porter/gpx/porter.gpx
Protect Ya Neck,https://www.trailforks.com/trails/protect-ya-neck/gpx/protect-ya-neck.gpx
Radar Road,https://www.trailforks.com/trails/radar-road/gpx/radar-road.gpx
Return - 2 - Gazebo,https://www.trailforks.com/trails/return-2-gazebo/gpx/return-2-gazebo.gpx
Root 66,https://www.trailforks.com/trails/root-66-107591/gpx/root-66-107591.gpx
Saison,https://www.trailforks.com/trails/saison/gpx/saison.gpx
Shaolin,https://www.trailforks.com/trails/shaolin-561079/gpx/shaolin-561079.gpx
Silver's Pass,https://www.trailforks.com/trails/silver-s-pass/gpx/silver-s-pass.gpx
Slabby McSlabface,https://www.trailforks.com/trails/slabby-mcslabface/gpx/slabby-mcslabface.gpx
Slingshot,https://www.trailforks.com/trails/slingshot/gpx/slingshot.gpx
Stout,https://www.trailforks.com/trails/stout-3392/gpx/stout-3392.gpx
Stout,https://www.trailforks.com/trails/stout-837332/gpx/stout-837332.gpx
Taylor's Tower of Power,https://www.trailforks.com/trails/taylor-s-tower-of-power/gpx/taylor-s-tower-of-power.gpx
The Saga Continues,https://www.trailforks.com/trails/the-saga-continues/gpx/the-saga-continues.gpx
Thunderbird,https://www.trailforks.com/trails/thunderbird/gpx/thunderbird.gpx
Trans Am,https://www.trailforks.com/trails/trans-am/gpx/trans-am.gpx
Triumph,https://www.trailforks.com/trails/triumph-561073/gpx/triumph-561073.gpx
Upper Ridgeback,https://www.trailforks.com/trails/upper-ridgeback/gpx/upper-ridgeback.gpx
Upper Ridgeback Connector,https://www.trailforks.com/trails/upper-ridgeback-connector/gpx/upper-ridgeback-connector.gpx
Wu Connecter,https://www.trailforks.com/trails/wu-connecter/gpx/wu-connecter.gpx
Wu Connector Road,https://www.trailforks.com/trails/wu-connector-road/gpx/wu-connector-road.gpx
Ãœber Growler,https://www.trailforks.com/trails/uber-growler/gpx/uber-growler.gpx
